,User_A,User_B,Interaction
1918,darthbonn,CarymaRules,Retweet
1919,LadyChelseaofVA,LadyChelseaofVA,Tweet
1920,MaDaMDASH1,CarymaRules,Retweet
1921,wildeyedprophet,wildeyedprophet,Tweet
1922,Welshy54,Welshy54,Tweet
1923,darthbonn,CarymaRules,Retweet
1924,Clint_ZA,Clint_ZA,Tweet
1925,darthbonn,CarymaRules,Retweet
1926,IncitedUs,CarymaRules,Retweet
1927,darthbonn,CarymaRules,Retweet
1928,darthbonn,CarymaRules,Retweet
1929,CarymaRules,CarymaRules,Tweet
1930,darthbonn,CarymaRules,Retweet
1931,yer_conscience,CarymaRules,Retweet
1932,darthbonn,CarymaRules,Retweet
1933,sethlwilson,CarymaRules,Retweet
1934,Linda11119465,CarymaRules,Retweet
1935,Melhathnofury,CarymaRules,Retweet
1936,ntreallyhuman,CarymaRules,Retweet
1937,ForAnimals1313,CarymaRules,Retweet
1938,SomeCanadiaNews,CarymaRules,Retweet
1939,TheJasonPugh,CarymaRules,Retweet
1940,anthony_d75,anthony_d75,Tweet
1941,bestkareyever,CarymaRules,Retweet
1942,AuthorwAttitude,CarymaRules,Retweet
1943,Leona39385834,CarymaRules,Retweet
1944,CarymaRules,CarymaRules,Tweet
1945,Juicytubesmile,Juicytubesmile,Tweet
1946,junee_swift,CarymaRules,Retweet
1947,M_S_Fricker,CarymaRules,Retweet
1948,opinionated75,CarymaRules,Retweet
1949,sethlwilson,CarymaRules,Retweet
1950,HodgySpeaks,keddieff,Retweet
1951,MT_Ahmed_,CarymaRules,Retweet
1952,NgmailSg,CarymaRules,Retweet
1953,RicksArentDicks,CarymaRules,Retweet
1954,nolifeneet,EatsFood2,Retweet
1955,jccordero28,CarymaRules,Retweet
1956,KarenDBgo,CarymaRules,Retweet
1957,BeazleyTaylah,BeazleyTaylah,Tweet
1958,UghitsAnjali,CarymaRules,Retweet
1959,CarymaRules,CarymaRules,Tweet
1960,womanatmile0,CarymaRules,Retweet
1961,TheJasonPugh,CarymaRules,Retweet
1962,BornThisWay1966,BornThisWay1966,Tweet
1963,bigsugar999,CarymaRules,Retweet
1964,alwaysnpocket,CarymaRules,Retweet
1965,LastWave_,LastWave_,Tweet
1966,GeorgeRamsay366,CarymaRules,Retweet
1967,LairdOverbrook,CarymaRules,Retweet
1968,NatWittee,CarymaRules,Retweet
1969,darthbonn,darthbonn,Tweet
1970,ElkeBabiuk,ElkeBabiuk,Tweet
1971,WVwontWait,CarymaRules,Retweet
1972,casio5278,CarymaRules,Retweet
1973,CarymaRules,CarymaRules,Tweet
1974,lash52,CarymaRules,Retweet
1975,IanMcCallum20,CarymaRules,Retweet
1976,CorruptNSW,Vanished00One,Retweet
1977,BruceVConway,CarymaRules,Retweet
1978,LairdOverbrook,CarymaRules,Retweet
1979,CharlieSkeptic,CharlieSkeptic,Tweet
1980,Vanished00One,Vanished00One,Tweet
1981,calvinkholsclaw,calvinkholsclaw,Tweet
1982,vissersixxx,CarymaRules,Retweet
1983,LairdOverbrook,CarymaRules,Retweet
1984,KrystleRoseKing,CarymaRules,Retweet
1985,KrystleRoseKing,CarymaRules,Retweet
1986,MonicaCYOW,CarymaRules,Retweet
1987,ScottBeadle23,ScottBeadle23,Tweet
1988,barblet30,CarymaRules,Retweet
1989,HerbieJuliet,Sokls21,Retweet
1990,ScottBeadle23,ScottBeadle23,Tweet
1991,CarymaRules,CarymaRules,Tweet
1992,BruceVConway,CarymaRules,Retweet
1993,Rabihmed,Rabihmed,Tweet
1994,tulip_in_march,CarymaRules,Retweet
1995,captain_clegg_1,captain_clegg_1,Tweet
1996,Clint_ZA,Clint_ZA,Tweet
1997,MarieJe88957066,CarymaRules,Retweet
1998,StutterLoudly,CarymaRules,Retweet
1999,CarymaRules,CarymaRules,Tweet
2000,BhekaniMlambo,BhekaniMlambo,Tweet
2001,Sokls21,Sokls21,Tweet
2002,4AnimalLife,4AnimalLife,Tweet
2003,YachiAbunai,YachiAbunai,Tweet
2004,tulip_in_march,CarymaRules,Retweet
2005,PtaJanice,zombiehotflash,Retweet
2006,Justance,CarymaRules,Retweet
2007,CarymaRules,CarymaRules,Tweet
2008,viralvideovlogs,wqbelle,Retweet
2009,Radiojane1,CarymaRules,Retweet
2010,greencounterktd,CarymaRules,Retweet
2011,SamHarp65562239,CarymaRules,Retweet
2012,SherpaJonny,CarymaRules,Retweet
2013,4brevity,CarymaRules,Retweet
2014,4brevity,CarymaRules,Retweet
2015,4brevity,CarymaRules,Retweet
2016,4brevity,CarymaRules,Retweet
2017,4brevity,CarymaRules,Retweet
2018,mark_melbin,mark_melbin,Tweet
2019,andymturner,axrenton,Retweet
2020,JohnAlcornMusic,CarymaRules,Retweet
2021,TerryTyler4,HocknellThomas,Retweet
2022,lindabintoronto,CarymaRules,Retweet
2023,pigsloveshit,fullfacecolor,Retweet
2024,IrelandTorin,CarymaRules,Retweet
2025,RetaSwift,CarymaRules,Retweet
2026,enantiomorph,CarymaRules,Retweet
2027,Div0Nexus,CarymaRules,Retweet
2028,anne_renouf,CarymaRules,Retweet
2029,MontinoPannuzo,axrenton,Retweet
2030,CarymaRules,pqpolitics,Retweet
2031,DylBryn,axrenton,Retweet
2032,IgorNordham,CarymaRules,Retweet
2033,AnthonyGeroux,CheriDiNovo,Retweet
2034,Cazzline,axrenton,Retweet
2035,McLoughlinPost,McLoughlinPost,Tweet
2036,gary_shek,axrenton,Retweet
2037,sunildvr,axrenton,Retweet
2038,4Tchat,BhekaniMlambo,Retweet
2039,Sathnam,axrenton,Retweet
2040,Bartek93794875,actualiteitjunk,Retweet
2041,Sokls21,Sokls21,Retweet
2042,ScottRoderic,WittaTwitta,Retweet
2043,Bartek93794875,actualiteitjunk,Retweet
2044,Helenspicer15,Helenspicer15,Tweet
2045,LLynneIrwin,CarymaRules,Retweet
2046,saada186,saada186,Tweet
2047,TheFluFighters,CarymaRules,Retweet
2048,Krimskrams33,Krimskrams33,Tweet
2049,JohnAlcornMusic,JohnAlcornMusic,Tweet
2050,GideonAmosNo1,GideonAmosNo1,Tweet
2051,zwyklyPolak,actualiteitjunk,Retweet
2052,DrSpockets,CarymaRules,Retweet
2053,LLynneIrwin,CarymaRules,Retweet
2054,zwyklyPolak,actualiteitjunk,Retweet
2055,ashkatgnl,ashkatgnl,Tweet
2056,OnlyMych3ll3,CarymaRules,Retweet
2057,darbo66,CarymaRules,Retweet
2058,VitamineKiezer,VitamineKiezer,Tweet
2059,missagathamary,CarymaRules,Retweet
2060,Mike_AJ_Henry,CarymaRules,Retweet
2061,Mike_AJ_Henry,CarymaRules,Retweet
2062,justjoe62,CarymaRules,Retweet
2063,KalatzisAnthony,CarymaRules,Retweet
2064,AlexVickeryHowe,AlexVickeryHowe,Tweet
2065,StutterLoudly,StutterLoudly,Tweet
2066,Paul__Shipley,Paul__Shipley,Tweet
2067,Zyxst,CarymaRules,Retweet
2068,njm3864,WittaTwitta,Retweet
2069,cur_mudgeon,CheriDiNovo,Retweet
2070,JasonSimpsonArt,davemacladd,Retweet
2071,GayleThomson13,CarymaRules,Retweet
2072,YvonneSchulzB,NancyBeauchemin,Retweet
2073,GingerAnneBaker,EatsFood2,Retweet
2074,Manos_K_A,christos83x,Retweet
2075,debnicktom,CarymaRules,Retweet
2076,AnthonyGeroux,CheriDiNovo,Retweet
2077,AndyCarmo5551,OllieRaygun,Retweet
2078,susiek227,axrenton,Retweet
2079,siriaral,Wiener_Chronist,Retweet
2080,lynayanb,CarymaRules,Retweet
2081,sufiboy,VaxxersAnti,Retweet
2082,Cherleen17,CarymaRules,Retweet
2083,Cherleen17,CarymaRules,Retweet
2084,Clint_ZA,Clint_ZA,Tweet
2085,Scott91241660,Scott91241660,Tweet
2086,JoanneCangal,ElkeBabiuk,Retweet
2087,Cherleen17,CarymaRules,Retweet
2088,jp_dutch,jp_dutch,Tweet
2089,NieuweDagEnKans,NieuweDagEnKans,Tweet
2090,FarthestShore,CarymaRules,Retweet
2091,lynayanb,CarymaRules,Retweet
2092,GingerAnneBaker,CarymaRules,Retweet
2093,Hugh_Madborough,Hugh_Madborough,Tweet
2094,Currtis25Harr,CarymaRules,Retweet
2095,Mme_Teajay,CarymaRules,Retweet
2096,NotGlinda,CarymaRules,Retweet
2097,LaLaKosply,CarymaRules,Retweet
2098,ontariyio66,cfayre,Retweet
2099,EmillennialJane,CarymaRules,Retweet
2100,dimigalano,christos83x,Retweet
2101,maccdy,CarymaRules,Retweet
2102,Gothigator,CarymaRules,Retweet
2103,suepeac,ElkeBabiuk,Retweet
2104,fnaust,fnaust,Tweet
2105,kokopuff16,EatsFood2,Retweet
2106,tifferharle,CarymaRules,Retweet
2107,PeterRiebeek1,CarymaRules,Retweet
2108,CarmenShier,CarymaRules,Retweet
2109,Seriouslytwist3,CarymaRules,Retweet
2110,CarmenShier,CarymaRules,Retweet
2111,CarmenShier,CarymaRules,Retweet
2112,OnlyMych3ll3,CarymaRules,Retweet
2113,monstreline,CarymaRules,Retweet
2114,CarmenShier,CarymaRules,Retweet
2115,EmillennialJane,CarymaRules,Retweet
2116,cvi81,CarymaRules,Retweet
2117,AlexVickeryHowe,AlexVickeryHowe,Tweet
2118,YzabettaSativa,CarymaRules,Retweet
2119,CarmenShier,CarymaRules,Retweet
2120,C4Wrestling,CarymaRules,Retweet
2121,CarmenShier,CarymaRules,Retweet
2122,C4Wrestling,CarymaRules,Retweet
2123,CarmenShier,CarymaRules,Retweet
2124,bestkareyever,CarymaRules,Retweet
2125,AlexVickeryHowe,AlexVickeryHowe,Tweet
2126,mig30m6,CarymaRules,Retweet
2127,CarmenShier,CarymaRules,Retweet
2128,RadioProletrio,RadioProletrio,Tweet
2129,PaulNewland15,CarymaRules,Retweet
2130,tiger_t10,StinnettLena,Retweet
2131,CarmenShier,CarymaRules,Retweet
2132,BeKindAlways00,CarymaRules,Retweet
2133,AlgonquinTM,CarymaRules,Retweet
2134,TonyYvce,EatsFood2,Retweet
2135,_FareedB_,CarymaRules,Retweet
2136,violette6253,CarymaRules,Retweet
2137,Chaudary_gaurav,CarymaRules,Retweet
2138,DMaxMTL,CarymaRules,Retweet
2139,LarryDeLuca,LarryDeLuca,Tweet
2140,Dani__Elyse,CarymaRules,Retweet
2141,rmalik91,CarymaRules,Retweet
2142,darbyTL,CarymaRules,Retweet
2143,ActivistBowen2,ActivistBowen2,Tweet
2144,ActivistBowen2,ActivistBowen2,Tweet
2145,ActivistBowen2,ActivistBowen2,Tweet
2146,NAFTELWORLD,CarymaRules,Retweet
2147,FightToWin2020,MichellesDude,Retweet
2148,MichellesDude,MichellesDude,Retweet
2149,MichellesDude,MichellesDude,Tweet
2150,RollieSpokes,RollieSpokes,Tweet
2151,Grumpriverwitch,CarymaRules,Retweet
2152,ActivistBowen2,ActivistBowen2,Tweet
2153,Robowarp1,actualiteitjunk,Retweet
2154,JessicaTurner01,CarymaRules,Retweet
2155,brandon_slink,CarymaRules,Retweet
2156,abrokenlull,CarymaRules,Retweet
2157,billygee12,billygee12,Tweet
2158,Elkenumber1,actualiteitjunk,Retweet
2159,rkin14,CarymaRules,Retweet
2160,JessicaTurner01,CarymaRules,Retweet
2161,billygee12,billygee12,Tweet
2162,actualiteitjunk,actualiteitjunk,Retweet
2163,TotalBlammBlam,CarymaRules,Retweet
2164,actualiteitjunk,actualiteitjunk,Retweet
2165,ConcernedPah,CarymaRules,Retweet
2166,ActivistBowen2,ActivistBowen2,Tweet
2167,DonaldB20071070,DonaldB20071070,Tweet
2168,therealneeroc,CarymaRules,Retweet
2169,SaskieStu,wildeyedprophet,Retweet
2170,donotleaveblank,donotleaveblank,Tweet
2171,ActivistBowen2,ActivistBowen2,Tweet
2172,Indarian2,CarymaRules,Retweet
2173,HHRnews,HHRnews,Tweet
2174,MelisMac12,CarymaRules,Retweet
2175,Sugabab59115132,Sugabab59115132,Tweet
2176,TotalBlammBlam,CarymaRules,Retweet
2177,johnherbert,davemacladd,Retweet
2178,anthea_jh,CarymaRules,Retweet
2179,ctrebnick,ctrebnick,Tweet
2180,paulmelanson007,CarymaRules,Retweet
2181,zchamu,CarymaRules,Retweet
2182,thing_just1,thing_just1,Tweet
2183,amys_here,CarymaRules,Retweet
2184,hounddog62,CarymaRules,Retweet
2185,NAFTELWORLD,CarymaRules,Retweet
2186,NAFTELWORLD,CarymaRules,Retweet
2187,molina_elorza,MikeSahno,Retweet
2188,JamieON94964661,CarymaRules,Retweet
2189,chadcrichton,CarymaRules,Retweet
2190,ksbrooker,CarymaRules,Retweet
2191,fey_photeine,CarymaRules,Retweet
2192,Leong48MSC,citylife28,Retweet
2193,todayintoronto_,CarymaRules,Retweet
2194,todayintoronto_,CarymaRules,Retweet
2195,lambk,CarymaRules,Retweet
2196,loretta_green83,CarymaRules,Retweet
2197,jrsamplesbr549,CarymaRules,Retweet
2198,todayintoronto_,CarymaRules,Retweet
2199,MinaShamsaei,CarymaRules,Retweet
2200,todayintoronto_,CarymaRules,Retweet
2201,todayintoronto_,CarymaRules,Retweet
2202,blahrahha22,CarymaRules,Retweet
2203,CarinaStern24,actualiteitjunk,Retweet
2204,sandi89701936,CarymaRules,Retweet
2205,todayintoronto_,CarymaRules,Retweet
2206,Bensamsona1,CarymaRules,Retweet
2207,chadcrichton,CarymaRules,Retweet
2208,chadcrichton,CarymaRules,Retweet
2209,CharlieArmstng,CarymaRules,Retweet
2210,CarymaRules,CarymaRules,Retweet
2211,chadcrichton,CarymaRules,Retweet
2212,CarymaRules,CarymaRules,Retweet
2213,CarymaRules,CarymaRules,Retweet
2214,CarymaRules,CarymaRules,Retweet
2215,CarymaRules,CarymaRules,Retweet
2216,CarymaRules,CarymaRules,Retweet
2217,CarymaRules,CarymaRules,Retweet
2218,JayBeeGooner,CarymaRules,Retweet
2219,CarmenShier,CarymaRules,Retweet
2220,CarymaRules,CarymaRules,Retweet
2221,CarymaRules,CarymaRules,Retweet
2222,CarymaRules,CarymaRules,Retweet
2223,CarymaRules,CarymaRules,Retweet
2224,CarymaRules,CarymaRules,Retweet
2225,CarymaRules,CarymaRules,Retweet
2226,CarymaRules,CarymaRules,Retweet
2227,chadcrichton,CarymaRules,Retweet
2228,ggreeneyes1975,CarymaRules,Retweet
2229,CarymaRules,CarymaRules,Retweet
2230,CarymaRules,CarymaRules,Retweet
2231,CarymaRules,CarymaRules,Retweet
2232,CarymaRules,CarymaRules,Retweet
2233,CarymaRules,CarymaRules,Retweet
2234,MinaShamsaei,CarymaRules,Retweet
2235,CarymaRules,CarymaRules,Retweet
2236,CarymaRules,CarymaRules,Retweet
2237,CarymaRules,CarymaRules,Retweet
2238,CarymaRules,CarymaRules,Retweet
2239,cricket_of_MH,michaelcoren,Retweet
2240,margrie12,CarymaRules,Retweet
2241,CarymaRules,CarymaRules,Tweet
2242,williamdore,CarymaRules,Retweet
2243,CEngerer,CarymaRules,Retweet
2244,lynayanb,CarymaRules,Retweet
2245,C4Wrestling,CarymaRules,Retweet
2246,LEAVEOTTAWANOW,davidchiarelli,Retweet
2247,Stephan94047773,davidchiarelli,Retweet
2248,CEngerer,CarymaRules,Retweet
2249,AbhijeetMonet,AbhijeetMonet,Tweet
2250,chadcrichton,CarymaRules,Retweet
2251,John68Richmond,CarymaRules,Retweet
2252,mekmtl,Grave_Rose,Retweet
2253,Mme1960,CarymaRules,Retweet
2254,Carleton4Change,CarymaRules,Retweet
2255,davidchiarelli,davidchiarelli,Tweet
2256,CPCDouches,CarymaRules,Retweet
2257,LowMeredith,CarymaRules,Retweet
2258,Robertjl,CarymaRules,Retweet
2259,wooduh,CarymaRules,Retweet
2260,senoradeno,CarymaRules,Retweet
2261,dega_gweta,CarymaRules,Retweet
2262,Ken34205423,CarymaRules,Retweet
2263,Ken34205423,CarymaRules,Retweet
2264,MaHashtag,CarymaRules,Retweet
2265,DavidCropp,CarymaRules,Retweet
2266,CarymaRules,CarymaRules,Tweet
2267,HonkHon27628076,HonkHon27628076,Tweet
2268,SyilxConnection,michaelcoren,Retweet
2269,mekmtl,CarymaRules,Retweet
2270,alisadoc1,alisadoc1,Tweet
2271,Braders8_GTTO,Braders8_GTTO,Tweet
2272,enzodimatteo,CarymaRules,Retweet
2273,PaulWCraig1,michaelcoren,Retweet
2274,MikeTwome,MikeTwome,Tweet
2275,J4ckRathunter,CarymaRules,Retweet
2276,bestkareyever,CarymaRules,Retweet
2277,Maraca2,General_Polvora,Retweet
2278,ConcernedPah,CarymaRules,Retweet
2279,pjkatie420,CarymaRules,Retweet
2280,dmrider,CarymaRules,Retweet
2281,ex_cult,ex_cult,Tweet
2282,ruthmkb,ElkeBabiuk,Retweet
2283,DonalynMcintyre,CarymaRules,Retweet
2284,BENDOVER_75,BENDOVER_75,Tweet
2285,Choeash,CarymaRules,Retweet
2286,samkj27,CarymaRules,Retweet
2287,Jaybee288,CarymaRules,Retweet
2288,Ofelia1409,Mohamme09073545,Retweet
2289,kristinaEBP,CarymaRules,Retweet
2290,paulmelanson007,CarymaRules,Retweet
2291,Davidhodkin1,CarymaRules,Retweet
2292,johangreg,CarymaRules,Retweet
2293,FinlandExplorer,FinlandExplorer,Tweet
2294,ladypeddle,CarymaRules,Retweet
2295,axelschule,CarymaRules,Retweet
2296,johndowe49,CarymaRules,Retweet
2297,AndyEmCee,CarymaRules,Retweet
2298,charlie96443618,CarymaRules,Retweet
2299,TheHorrorOf97,CarymaRules,Retweet
2300,krismeloche,CarymaRules,Retweet
2301,thankgodthatso1,CarymaRules,Retweet
2302,wavetossed,CarymaRules,Retweet
2303,GoodbyeCrook,GoodbyeCrook,Tweet
2304,_MiphasGrace_,CarymaRules,Retweet
2305,Jen71664836,CarymaRules,Retweet
2306,SwordtheChemist,SwordtheChemist,Tweet
2307,VarietyGuy2,fortpapalia,Retweet
2308,CarymaRules,CarymaRules,Tweet
2309,Woo_Detector,VaxxersAnti,Retweet
2310,paul_yyc,CarymaRules,Retweet
2311,wearymillennial,CarymaRules,Retweet
2312,KGang2021,CarymaRules,Retweet
2313,paul_yyc,CarymaRules,Retweet
2314,nlclarke1112,CarymaRules,Retweet
2315,CharlieRamgo4,CheriDiNovo,Retweet
2316,ToriLRidgewood,CarymaRules,Retweet
2317,TsawwassenCanuk,CarymaRules,Retweet
2318,katz_mum,CarymaRules,Retweet
2319,Micha74309145,CarymaRules,Retweet
2320,CarmenShier,CarymaRules,Retweet
2321,CharlieRamgo4,CheriDiNovo,Retweet
2322,CarlaMeckelborg,CarymaRules,Retweet
2323,CanadianTedEh,CarymaRules,Retweet
2324,CarymaRules,CarymaRules,Tweet
2325,wavetossed,CarymaRules,Retweet
2326,CarlaMeckelborg,CarymaRules,Retweet
2327,Matja,CarymaRules,Retweet
2328,johndowe49,CarymaRules,Retweet
2329,MikeHun48378399,CarymaRules,Retweet
2330,NorthBelle4,AbhijeetMonet,Retweet
2331,SeeKatTweet,CarymaRules,Retweet
2332,c_chickpea,CarymaRules,Retweet
2333,johndowe49,CarymaRules,Retweet
2334,namwrsonname,CarymaRules,Retweet
2335,bobtheastorian,CarymaRules,Retweet
2336,Kingjorgeq3,CarymaRules,Retweet
2337,ADHD_Mel,CarymaRules,Retweet
2338,authentic_jack,CarymaRules,Retweet
2339,MTomosy,MTomosy,Tweet
2340,LambAgent,CarymaRules,Retweet
2341,genla6,CarymaRules,Retweet
2342,VAT2020USA,VAT2020USA,Tweet
2343,CoinXndr,CoinXndr,Tweet
2344,samsquimsh,CarymaRules,Retweet
2345,CarymaRules,CarymaRules,Tweet
2346,JaymesHaig,arsongurl,Retweet
2347,YzabettaSativa,Sparkiestgerm,Retweet
2348,Una_Paloma1,CarymaRules,Retweet
2349,MILES30573350,CarymaRules,Retweet
2350,CircuitForge,CircuitForge,Tweet
2351,RBaker08175493,CarymaRules,Retweet
2352,RaTa_ECK,CarymaRules,Retweet
2353,CheerylMauricio,CarymaRules,Retweet
2354,julepandme,CarymaRules,Retweet
2355,CommonSenseSoc,CommonSenseSoc,Tweet
2356,steven181990,CarymaRules,Retweet
2357,BJordanLogue,CarymaRules,Retweet
2358,JonnyJFivee,CarymaRules,Retweet
2359,lambk,CarymaRules,Retweet
2360,keshavuvacha,CarymaRules,Retweet
2361,OlFlag,CarymaRules,Retweet
2362,Dis_Col,Dis_Col,Tweet
2363,ZubinKooka,CarymaRules,Retweet
2364,DisasterCat139,CarymaRules,Retweet
2365,markdwelsh,angryhacademic,Retweet
2366,Crystal_Blue187,Crystal_Blue187,Retweet
2367,CharityTribe,CarymaRules,Retweet
2368,charlie96443618,CarymaRules,Retweet
2369,AimMcGregor,CarymaRules,Retweet
2370,davidpugliese,CarymaRules,Retweet
2371,grahampointer72,CarymaRules,Retweet
2372,Sparkiestgerm,Sparkiestgerm,Tweet
2373,johndowe49,CarymaRules,Retweet
2374,AndrewK61818677,CarymaRules,Retweet
2375,lebntb2016,CarymaRules,Retweet
2376,BobSmith4152,BobSmith4152,Tweet
2377,BeachcomberJan,BeachcomberJan,Tweet
2378,B4ward3,Newsforachange,Retweet
2379,Zout_Zuur,Zout_Zuur,Tweet
2380,flavialamestiza,CarymaRules,Retweet
2381,arsongurl,arsongurl,Tweet
2382,imsfshook,imsfshook,Tweet
2383,Jayemmbee23,CarymaRules,Retweet
2384,nosajlive,CarymaRules,Retweet
2385,MaggieDBar,CarymaRules,Retweet
2386,amanda__pei,CarymaRules,Retweet
2387,JoanneCangal,CarymaRules,Retweet
2388,dosborne,CarymaRules,Retweet
2389,cmdott,LloydWasser,Retweet
2390,CarymaRules,CarymaRules,Tweet
2391,kmzscu,kmzscu,Tweet
2392,88mphdelorean1,CarymaRules,Retweet
2393,1loriking,CarymaRules,Retweet
2394,mitch9034,CarymaRules,Retweet
2395,stevenact4,kokopuff16,Retweet
2396,kayaking_canada,CarymaRules,Retweet
2397,CarymaRules,CarymaRules,Tweet
2398,senoradeno,CarymaRules,Retweet
2399,ErikFriesen10,ErikFriesen10,Tweet
2400,BlackBeard20096,kokopuff16,Retweet
2401,paulb0641,kokopuff16,Retweet
2402,ThomasHall17,CarymaRules,Retweet
2403,MacG2MacG,CarymaRules,Retweet
2404,IWPCHI,CarymaRules,Retweet
2405,PatrioticCougar,CarymaRules,Retweet
2406,BodyImageDay,CarymaRules,Retweet
2407,whoopsx2,CarymaRules,Retweet
2408,welcomesoso7,CarymaRules,Retweet
2409,nameles30942112,CarymaRules,Retweet
2410,Canadianmouse2,CarymaRules,Retweet
2411,CarymaRules,CarymaRules,Tweet
2412,MacG2MacG,CarymaRules,Retweet
2413,RebelHeart529,CarymaRules,Retweet
2414,dianneathome,CarymaRules,Retweet
2415,TheLibCo,CarymaRules,Retweet
2416,darthbonn,CarymaRules,Retweet
2417,downeybaxter,SamvgWr,Retweet
2418,winchesterizzy,kokopuff16,Retweet
2419,PrimeGroot,CarymaRules,Retweet
2420,Caitkachow,CarymaRules,Retweet
2421,glenda_aus,glenda_aus,Tweet
2422,CharlesDeschen1,CarymaRules,Retweet
2423,jameswade80,davidchiarelli,Retweet
2424,FpsSultan,CarymaRules,Retweet
2425,StewKlazinga,michaelcoren,Retweet
2426,Liam_Tosh,kokopuff16,Retweet
2427,DeplorableMike4,CarymaRules,Retweet
2428,darthbonn,CarymaRules,Retweet
2429,Deb_Is_Young,CarymaRules,Retweet
2430,darthbonn,CarymaRules,Retweet
2431,brennanleffler,kokopuff16,Retweet
2432,Olivia1Culpo,mindmatters001,Retweet
2433,TheArbourist,kokopuff16,Retweet
2434,DeeDub8,DeeDub8,Tweet
2435,Ken34205423,AbhijeetMonet,Retweet
2436,citymice4,caryn_lieberman,Retweet
2437,PromisedMePie,kokopuff16,Retweet
2438,blackhoejabi,kokopuff16,Retweet
2439,Michael11592625,Michael11592625,Tweet
2440,Clint_ZA,Clint_ZA,Tweet
2441,gracearmagh,CarymaRules,Retweet
2442,CalvinSwine905,CarymaRules,Retweet
2443,Jeannie41997288,CarymaRules,Retweet
2444,DoniFromTheBloc,CarymaRules,Retweet
2445,Princess_br1de,CarymaRules,Retweet
2446,anthea_jh,CarymaRules,Retweet
2447,CalvinSwine905,CarymaRules,Retweet
2448,Kvitsh,CarymaRules,Retweet
2449,Mme_Teajay,CarymaRules,Retweet
2450,rkelly123,CarymaRules,Retweet
2451,Mme_Teajay,CarymaRules,Retweet
2452,MaggieDBar,CarymaRules,Retweet
2453,Clint_ZA,Clint_ZA,Tweet
2454,MarshWatching,ElkeBabiuk,Retweet
2455,ZooBri,ZooBri,Tweet
2456,CathyBarr,CarymaRules,Retweet
2457,Canadianmouse2,CarymaRules,Retweet
2458,jillessjack,CarymaRules,Retweet
2459,chadcrichton,CarymaRules,Retweet
2460,KrisKingsbury,KrisKingsbury,Tweet
2461,brittabnolte,kokopuff16,Retweet
2462,njaved,CarymaRules,Retweet
2463,cmatthews213,CarymaRules,Retweet
2464,Carobailey864,CarymaRules,Retweet
2465,Justance,CarymaRules,Retweet
2466,brittabnolte,kokopuff16,Retweet
2467,worldincrisis1,CarymaRules,Retweet
2468,eileenross_20,caryn_lieberman,Retweet
2469,Coimin_T,CarymaRules,Retweet
2470,CarymaRules,CarymaRules,Tweet
2471,melliep11,kokopuff16,Retweet
2472,Justance,CarymaRules,Retweet
2473,KJ72421949,CarymaRules,Retweet
2474,amymelissa555,amymelissa555,Tweet
2475,ArunBhaumik,CarymaRules,Retweet
2476,marie197408,edgarantonioloz,Retweet
2477,brittabnolte,kokopuff16,Retweet
2478,DrOnDFS,kokopuff16,Retweet
2479,MadeOfCartoons,CarymaRules,Retweet
2480,BrittanyMacDon,Sparkiestgerm,Retweet
2481,xanthusia,xanthusia,Tweet
2482,michaelcoren,michaelcoren,Tweet
2483,EIizabethSays,CarymaRules,Retweet
2484,karamcnair,kokopuff16,Retweet
2485,leighfromcanada,CarymaRules,Retweet
2486,C4Wrestling,CarymaRules,Retweet
2487,c_chickpea,CarymaRules,Retweet
2488,joe_mcfatter,joe_mcfatter,Tweet
2489,IMSiegfried,CarymaRules,Retweet
2490,halfcaperfarm,CarymaRules,Retweet
2491,leighfromcanada,CarymaRules,Retweet
2492,BrittanyMacDon,kokopuff16,Retweet
2493,poli_nerd,CarymaRules,Retweet
2494,NadineNonny,CarymaRules,Retweet
2495,leighfromcanada,CarymaRules,Retweet
2496,HeidinJoe,CarymaRules,Retweet
2497,maccdy,maccdy,Tweet
2498,NadineNonny,CarymaRules,Retweet
2499,antihateca,kokopuff16,Retweet
2500,4brevity,CarymaRules,Retweet
2501,tlshields85,CarymaRules,Retweet
2502,Socialism4Jobs,Socialism4Jobs,Tweet
2503,DrYasmeme,angryhacademic,Retweet
2504,DesignerMutts,DesignerMutts,Tweet
2505,JC5health,CarymaRules,Retweet
2506,notdissuaded,notdissuaded,Tweet
2507,DrSpockets,CarymaRules,Retweet
2508,BrittanyMacDon,Grave_Rose,Retweet
2509,mcnicoll_craig,CarymaRules,Retweet
2510,BrittanyMacDon,actualiteitjunk,Retweet
2511,BrittanyMacDon,AntonvWalraven,Retweet
2512,BrittanyMacDon,CarymaRules,Retweet
2513,FleggDerek,kokopuff16,Retweet
2514,BrittanyMacDon,CarymaRules,Retweet
2515,xanthusia,xanthusia,Tweet
2516,BrittanyMacDon,CarymaRules,Retweet
2517,giastans,kokopuff16,Retweet
2518,BrittanyMacDon,CarymaRules,Retweet
2519,EIizabethSays,CarymaRules,Retweet
2520,BrittanyMacDon,CarymaRules,Retweet
2521,centristjim1,centristjim1,Tweet
2522,CraigMckraken,CarymaRules,Retweet
2523,McJewer,brigittebouvier,Retweet
2524,IMSiegfried,CarymaRules,Retweet
2525,Sylvia_FineArt,CarymaRules,Retweet
2526,secondtimearo16,secondtimearo16,Tweet
2527,Canada1Proud,CarymaRules,Retweet
2528,StutterLoudly,darthbonn,Retweet
