,User_A,User_B,Interaction
146,JohnSplicer,CarymaRules,Retweet
147,Dragonfliezzz,MikeThomey,Retweet
148,Percent76,CarymaRules,Retweet
149,Justmax360,MikeThomey,Retweet
150,ProperRightWing,CarymaRules,Retweet
151,AB_Parent2,CarymaRules,Retweet
152,EatsFood2,CarymaRules,Retweet
153,bbucci76,CarymaRules,Retweet
154,winter_canada,CarymaRules,Retweet
155,goonda13,CarymaRules,Retweet
156,bakingmommy,CarymaRules,Retweet
157,paisleypattern5,CarymaRules,Retweet
158,LarLafren,CarymaRules,Retweet
159,AgonyNacho,CarymaRules,Retweet
160,gill_godwin,CarymaRules,Retweet
161,mikethenavyguy,CarymaRules,Retweet
162,rightsprung,CarymaRules,Retweet
163,ThomasHall17,ElkeBabiuk,Retweet
164,BrianPaquin15,CarymaRules,Retweet
165,suzanbunner,CarymaRules,Retweet
166,Dumbshowsnoise,CarymaRules,Retweet
167,BTP1960,CarymaRules,Retweet
168,Garnet_Dyer,CarymaRules,Retweet
169,NancyBeauchemin,NancyBeauchemin,Tweet
170,lind_z_k,CarymaRules,Retweet
171,lind_z_k,CarymaRules,Retweet
172,melishee,CarymaRules,Retweet
173,amber_brown1989,CarymaRules,Retweet
174,Heyyoulookitsme,CarymaRules,Retweet
175,VeeZeeToronto,CarymaRules,Retweet
176,Dumbshowsnoise,CarymaRules,Retweet
177,trumpkilledcan1,CarymaRules,Retweet
178,jojorobo58_jojo,CarymaRules,Retweet
179,AlexKronstein,CarymaRules,Retweet
180,davidpugliese,CarymaRules,Retweet
181,yavmontenegro,CarymaRules,Retweet
182,CarymaRules,CarymaRules,Tweet
183,davidpugliese,CarymaRules,Retweet
184,CLSylvestre1,CarymaRules,Retweet
185,CamHolmstrom,CarymaRules,Retweet
186,AlexKronstein,CarymaRules,Retweet
187,GirlStormy,CarymaRules,Retweet
188,flipkoin2,CarymaRules,Retweet
189,JBHelpedMeTalk9,CarymaRules,Retweet
190,HaseebH__,CarymaRules,Retweet
191,DRE_DREY_DRE,CarymaRules,Retweet
192,WorldCitizenLA,CarymaRules,Retweet
193,davidpugliese,CarymaRules,Retweet
194,CBCBGT,CarymaRules,Retweet
195,1budhababy,CarymaRules,Retweet
196,eli_d_m,eli_d_m,Tweet
197,OurTriumph,CarymaRules,Retweet
198,funswick,CarymaRules,Retweet
199,BlackCheesebur1,CarymaRules,Retweet
200,StevenK007,CarymaRules,Retweet
201,CalvinSwine905,CarymaRules,Retweet
202,CionaodMcGrath,CarymaRules,Retweet
203,CalvinSwine905,CarymaRules,Retweet
204,ohforpitysakes,MikeThomey,Retweet
205,Socialism4Jobs,Socialism4Jobs,Tweet
206,blackhandgame,CarymaRules,Retweet
207,blackhandgame,CarymaRules,Retweet
